carbon-footprint_100g,category_encoded,packaging_encoded,origins_encoded,countries_encoded
0.0,8,2,12,4
1e-06,7,1,9,2
82.8,1,5,22,6
56.2,1,3,22,6
82.6,1,5,22,6
0.0,9,5,11,2
130.0,0,4,9,2
365.0,10,0,9,2
255.0,4,0,0,2
2520.0,5,5,15,2
220.0,1,3,9,2
945.0,3,3,8,2
945.0,3,3,8,2
175.0,1,0,9,2
405.0,2,3,9,2
320.0,10,3,9,2
545.0,7,0,9,2
900.0,11,5,8,3
685.0,7,0,9,2
370.0,8,2,14,2
395.0,8,2,14,2
345.0,8,2,14,2
835.0,3,3,15,2
276.0,7,1,15,2
1275.0,3,3,9,2
179.0,10,3,9,2
585.0,7,3,23,2
655.0,8,3,9,2
340.0,8,2,14,2
185.0,7,3,8,2
200.0,7,3,8,2
430.0,4,3,15,2
205.0,3,3,9,2
855.0,5,5,9,2
345.0,10,5,0,2
510.0,8,5,9,2
1285.0,5,4,9,2
155.0,7,3,8,2
120.0,11,1,20,2
150.0,7,5,9,2
19.0,7,0,9,2
1113.0547,3,3,9,2
1127.0,3,3,9,2
0.0,8,3,8,2
900.0,3,3,9,2
828.0,9,0,9,2
828.0,9,3,9,2
828.0,3,3,9,2
828.0,9,3,9,2
828.0,9,3,9,2
537.0,11,3,9,2
0.0,6,3,9,2
0.0,7,0,9,2
0.0,7,0,9,2
160.0,10,3,17,2
273.0,10,0,17,2
135.0,10,4,17,2
153.0,10,3,17,2
177.0,10,3,17,2
251.0,10,0,16,2
388.0,7,3,23,2
160.0,7,0,23,2
73.0,12,0,16,2
766.0,0,3,21,2
775.0,0,3,21,2
123.0,10,0,17,2
126.0,0,3,13,2
124.0,0,3,10,2
527.0,0,3,21,2
607.0,0,3,19,2
540.0,0,0,2,2
149.0,11,3,3,2
136.0,12,5,18,2
160.0,10,4,16,2
273.0,10,0,17,2
562.0,0,3,19,2
120.0,0,3,7,2
178.0,10,3,17,0
153.0,10,3,17,2
177.0,10,0,15,2
170.0,10,4,17,2
161.0,10,3,9,2
160.0,10,3,16,2
189.0,10,0,21,2
150.0,10,0,17,2
770.0,0,3,21,2
461.0,0,3,2,2
312.0,0,2,21,2
300.0,0,6,1,2
94.0,0,6,1,2
167.0,7,3,9,2
87.0,7,5,9,2
150.0,10,4,17,2
162.0,10,4,17,2
188.0,10,3,17,2
197.0,10,3,17,2
312.0,0,2,21,2
312.0,0,2,21,2
195.0,10,3,9,2
506.0,0,3,21,2
102.0,0,6,4,2
102.0,0,6,1,2
153.0,10,3,17,2
122.0,6,3,17,2
237.0,10,4,6,2
220.0,10,0,5,2
219.0,10,0,6,2
205.0,10,4,6,2
223.0,0,5,13,2
235.0,0,5,10,2
153.0,10,4,17,2
197.0,10,0,17,2
214.0,10,3,6,2
965.0,0,0,21,2
1131.0,0,0,21,2
0.0,1,4,15,2
17.0,12,3,1,2
125.0,7,5,24,8
0.0,10,0,9,7
281.0,7,5,15,6
324.0,7,5,15,6
362.0,7,0,22,6
57.5,1,6,22,6
56.2,1,5,22,6
180.9,1,3,22,6
267.4,1,3,22,6
204.5,1,3,22,6
45.3,1,6,22,6
39.7,6,6,22,6
55.6,1,3,22,6
32.3,7,0,22,6
0.0,6,4,1,1
0.0,6,2,12,4
0.0,7,5,20,5
0.0,7,5,20,5
0.0,7,1,20,5
0.0,7,1,20,5
0.0,7,1,20,5
0.0,7,1,20,5
0.0,7,4,20,5
0.0,7,1,20,5
